episode,train_cscqi,train_isr,critic_loss,actor_loss
50,0.9513,0.900,0.0068,-0.4222
100,1.1215,0.800,0.2346,-0.7502
150,0.5401,0.800,0.0041,-0.9780
200,1.8307,1.000,1.0327,-0.9829
250,1.0859,0.700,0.0085,-1.0209
300,1.5904,0.900,0.2035,-1.0362
350,1.2207,0.800,0.2250,-1.1869
400,0.3015,0.500,0.2087,-1.7949
450,0.9928,0.700,0.1925,-2.6880
500,1.5027,0.900,0.0947,-3.9674
550,1.3276,0.800,0.0924,-5.0774
600,0.4072,0.500,0.1104,-6.1206
650,0.8778,0.700,0.0791,-6.5870
700,1.3386,0.900,0.0730,-6.7322
750,1.5846,0.900,0.0924,-7.2433
800,1.3375,0.900,0.0582,-7.7027
850,0.6337,0.800,0.0893,-8.1334
900,1.2746,0.900,0.0738,-7.5188
950,1.3255,0.800,0.0739,-7.4769
1000,1.6902,0.900,0.0795,-7.4461
