episode,train_cscqi,train_isr,critic_loss,actor_loss
50,0.0257,0.400,0.0695,-0.3152
100,0.0518,0.400,0.0002,-0.4851
150,0.9996,0.800,0.2643,-0.5642
200,1.1660,0.800,0.0781,-0.6312
250,0.5007,0.600,0.1367,-0.6650
300,0.1318,0.600,0.2112,-0.7150
350,-0.6669,0.200,0.1248,-1.0878
400,0.5478,0.600,0.1217,-2.3126
450,-0.1761,0.600,0.1397,-3.6643
500,0.9348,0.600,0.1658,-5.0469
550,-0.3087,0.400,0.1389,-6.3541
600,-1.9229,0.400,0.3373,-7.4695
650,-0.0349,0.400,0.2340,-7.9455
700,0.7150,0.600,0.3262,-8.1886
750,0.2015,0.800,0.2718,-8.9722
800,0.8771,0.800,0.3639,-9.3217
850,-0.8130,0.200,0.3626,-9.7148
900,-1.2093,0.600,0.5129,-9.5132
950,-4.2739,0.400,0.6041,-9.5974
1000,-1.3314,0.200,0.6046,-10.3886
