episode,train_cscqi,train_isr,critic_loss,actor_loss
50,-2.2748,0.420,0.0000,0.3853
100,-2.7281,0.360,0.6959,0.4868
150,-2.8166,0.340,0.6606,0.4336
200,-1.4866,0.420,0.1612,0.4948
250,-2.1808,0.380,0.7886,0.4068
300,-1.8685,0.440,0.2857,0.3208
350,-2.4308,0.460,0.0755,0.3426
400,-2.9270,0.440,0.1216,0.1276
450,-3.9451,0.340,0.0932,-0.1092
500,-4.3972,0.300,0.1223,-0.2859
550,-1.3578,0.480,0.1266,-0.5313
600,-4.9388,0.320,0.2412,-0.8242
650,-3.1557,0.440,0.1155,-1.0830
700,-3.7046,0.360,0.0886,-1.3737
750,-5.1168,0.340,0.1082,-1.6116
800,-4.8709,0.400,0.1416,-1.8158
850,-5.2701,0.240,0.1553,-2.0830
900,-4.3672,0.400,0.1714,-2.5903
950,-2.2235,0.360,0.1434,-4.6304
1000,-2.1987,0.540,0.1102,-4.6673
